,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_average_confidence_score_mean,0.8285309076309204,0.9469730257987976,0.8045579791069031,0.6877694725990295,0.7308028340339661,0.7184541821479797,0.8993232846260071,0.9553988575935364,0.8556238412857056,0.9907379746437072,0.7102698683738708,0.8083226680755615,0.9425533413887024,0.8084246516227722,0.8604389429092407,0.9925720691680908,0.9627456665039062,0.9878101348876952,0.962690770626068,0.6729934811592102,0.8512730002403259,0.9570820927619934,0.9968110918998718,0.9213109612464904,0.331846535205841,0.994069516658783,0.4661291241645813,0.733488142490387,0.6472610235214233,0.8149844408035278,0.969154417514801,0.9373612999916076,0.4503876268863678
downstream_metrics_average_confidence_score_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_slice_wise_average_PCC_mean,0.3594516515731811,0.2827301919460296,0.5278966426849365,0.3555696308612823,0.5384962558746338,0.3486318588256836,0.5298669338226318,0.2722571492195129,0.4778161942958832,0.4643632173538208,0.525547981262207,0.6211813688278198,0.540388822555542,0.5657930374145508,0.3369562029838562,0.5106381177902222,0.3790162801742553,0.3626687526702881,0.3714982867240906,0.5544848442077637,0.2915461361408233,0.4083971083164215,0.2664184868335724,0.5245255827903748,0.1854918748140335,0.4795229732990265,0.2812450230121612,0.4876774251461029,0.325502872467041,0.5356746912002563,0.2919516861438751,0.5299397110939026,0.1857417970895767
downstream_metrics_slice_wise_average_PCC_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_average_matching_rate_mean,0.6163676055588094,0.6506220826012105,0.4240633264114442,0.584988374775926,0.4176561418454821,0.1758869779741937,0.3981861100757858,0.3531938306444456,0.2816676428305202,0.2987061391832171,0.32933993575067,0.4867152973750066,0.4869815238805175,0.4666240704257849,0.6839536410911737,0.4815327547343946,0.6493086985073567,0.6625135331806968,0.6216033935005236,0.4962994515733986,0.1515183785030971,0.5847576451378166,0.1913103668601246,0.6180892036277799,0.2489395310863816,0.3843955770903218,0.3478693005342279,0.6698081394316951,0.63374332215182,0.7081270077915623,0.6701986049731111,0.5889995207922901,0.3530163463074384
downstream_metrics_average_matching_rate_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bio_metrics_geometry_cell_distance_corr_mean,0.1806664618008279,0.1087251278957209,0.0551216414797239,0.1420052615962272,0.0525297524700335,0.0768434439119473,0.0520839329958366,0.0964736778217618,0.023515445097823,0.040192191728171,0.0659087687358871,0.067659416835283,0.0871068583243922,0.0666479753467498,0.1437031990044407,0.078006321773343,0.1506494221846275,0.1527456153169062,0.1401438818745919,0.125469664758826,0.0876446468476253,0.1400693013369923,0.1630529732549163,0.1444166258361552,0.1375288849517375,0.0322782384818183,0.1488824002537366,0.1790097509591071,0.1943258776256294,0.1654620514119721,0.1300953585269744,0.1068653378858823,0.1879653160536561
bio_metrics_geometry_cell_distance_corr_std,0.0739691355047203,0.0316103031065721,0.0186739864787208,0.0577265705509893,0.0193912742779938,0.0280670723934731,0.0224687644793679,0.0240169047729795,0.0071050232260973,0.016470336388682,0.0212994135005788,0.0226144032711684,0.046820322369277,0.0188000816166407,0.069746371940034,0.0299199158058215,0.0572405075671857,0.0887769598760219,0.0544329528498346,0.0596620006290941,0.0482348394576057,0.0994148823841357,0.1168800269697007,0.0645171856663387,0.0099020008322972,0.0086454524831272,0.0750886340780268,0.0731079009514256,0.0938059919705776,0.097282419973903,0.0652572538878419,0.0394039388622964,0.0335923064273268
bio_metrics_geometry_truthworthiness_mean,0.732852140823226,0.7048078842214849,0.5701898872147557,0.697192193708629,0.5778339521407128,0.6019241992749367,0.564311007921845,0.6458273255994447,0.5352868226026284,0.5423250946303201,0.5749478207089463,0.5910381483093243,0.5880892303493954,0.5797083276587988,0.6770918128531662,0.5729515708242396,0.6791280620893898,0.7234474973775862,0.6690312090044377,0.5912646446025142,0.5697635365005884,0.6277075301092206,0.657435222292531,0.6223217905795433,0.5884835707029026,0.5591643055443032,0.712558643620945,0.7323564234315981,0.805712505420817,0.6502911356801333,0.6536307509277304,0.6098181411129406,0.6698333205977041
bio_metrics_geometry_truthworthiness_std,0.0131421805856542,0.0266830827924114,0.0228057407246106,0.0217771447615428,0.0265807383462079,0.0014854677399426,0.0234664372072792,0.0147323349563432,0.0078642265833954,0.014534783609759,0.0252575481983928,0.0279103559908596,0.029626826743669,0.0262999813998011,0.0307523308036427,0.0273850247005469,0.0227327149044637,0.0222171557491826,0.0229210820757949,0.0317750758705664,0.0278534060906699,0.0359180132934296,0.0389207643659924,0.0339005316695688,0.0085865079435342,0.0220473978148721,0.0096485004962215,0.0187545142678847,0.015430645666061,0.0353660239892966,0.0333071412731882,0.0276712784362805,0.0227961350688875
bio_metrics_geometry_truthworthiness_decay_mean,-0.1897255005300633,-0.1158291351258501,-0.0082020162501145,-0.1520018598260488,-0.0135091226878434,-0.0360258671470628,-0.0085989334817443,-0.1109464145323468,-0.0103510200780638,-0.0071275448391167,-0.0117135672987582,-0.0151566025612226,-0.0106286126717701,-0.0113804454283715,-0.0964701338891,-0.0075873879261708,-0.1328118793603337,-0.1776223601883526,-0.1220929969010521,-0.0085485122256933,-0.0064714470932781,-0.0353457091190505,-0.0401588589507457,-0.0311297113417998,-0.0051536619243733,-0.0068098883597007,-0.1570497220329037,-0.1614885103553686,-0.2505870223645579,-0.0429452112127208,-0.025714891112401,-0.0295693153724844,-0.1224677188695996
bio_metrics_geometry_truthworthiness_decay_std,0.0205988669461554,0.0010606724584437,0.0041951586329826,0.0160268251250122,0.0025013590188611,0.0005244227231751,0.003236096319821,0.0053807211061644,0.0033612553102251,0.0021649784722942,0.0028770462190631,0.0016744416468574,0.0014740589708634,0.0027171843572118,0.0039218051385875,0.000944042020686,0.0060370847740097,0.0137522370381425,0.0063268381737708,0.0020750131194669,0.0052547259934912,0.0029575638022239,0.0008174213426461,0.0008264500639606,0.0038461788528123,0.0020144739353488,0.0206034559577974,0.006729837145434,0.0242098075329512,0.0028656260090998,0.0036484575458296,0.0019270633708198,0.0142599127945852
