,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,Scanorama,Harmony,STAGATE,SPIRAL,spCLUE,SpaVAE,scNiche,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
sc_metrics_BALBc-3_KNN_f1,0.1305073003754835,0.1105901896232831,0.5958871010628121,0.2114890539123635,0.5582958266262521,0.5898717100861355,0.6138971474079951,0.2429353424514798,0.4518262610492062,0.4443967893477786,0.2421053853820818,0.1701907997372814,0.1066438917197472,0.3415625276710786,0.1011794496866779,0.557734140310709,0.0567996599544959
sc_metrics_BALBc-3_LR_acc,0.5862447976485989,0.5483803243056328,0.8492336951823447,0.6079927877193633,0.8172477245501587,0.8408728835537772,0.8466402381040594,0.6284687488422067,0.8417867684289825,0.7843725686339891,0.7016536376322972,0.6171439862670273,0.5667321205834044,0.7386906746693342,0.5591122966914898,0.8366739530460771,0.4832351524582268
sc_metrics_BALBc-3_LR_f1,0.1652133023633995,0.0943416063944136,0.6088090807113303,0.2093125311363392,0.5214467090202791,0.5793368988530125,0.6306277116338346,0.2844165643294076,0.5766129441472473,0.4178158641065771,0.1725941373233453,0.1051400603502551,0.1129640782572699,0.3831887151786387,0.0920941018807039,0.5783906191174695,0.0747517369827323
sc_metrics_BALBc-3_RF_acc,0.5781927309103034,0.5492077606115618,0.8400083978610154,0.577291195830709,0.7752213700863251,0.8431822953330123,0.839316809306806,0.6250602052536031,0.7833475355982858,0.7687871265730553,0.7965247675150976,0.6225531967445939,0.5588282513924394,0.737035802057476,0.5440949452286564,0.8337100020994652,0.4551887666259123
sc_metrics_BALBc-3_RF_f1,0.1214733545076899,0.1058022515760054,0.5578873810636884,0.1175875832453041,0.3380449072557604,0.5736923753480657,0.5765496049230864,0.2388317718395328,0.4331009956997646,0.4457379925587236,0.4172562634576245,0.1839453617872131,0.1022645557336836,0.3472477406326688,0.1081352979731503,0.5335766541980536,0.0630690920341407
sc_metrics_cLISI,0.9553702,0.94828445,0.99695337,0.9612653,0.9960981,0.997406,0.9972018,0.9628006,0.9857817,0.985187,0.98798645,0.96289384,0.95269066,0.96822447,0.94670665,0.99588245,0.9294234
sc_metrics_isolated_labels,0.4633605778217315,0.4547978937625885,0.5383195281028748,0.482143372297287,0.5144490003585815,0.5408807396888733,0.5226144790649414,0.4826509058475494,0.4926124811172485,0.4810484051704407,0.4346838295459747,0.4368862211704254,0.4647270441055298,0.499509185552597,0.442251592874527,0.521602213382721,0.4452694654464721
sc_metrics_ASW_label,0.437892198562622,0.4286541044712066,0.4973241686820984,0.4776445031166076,0.5191778540611267,0.4845751821994781,0.5144080519676208,0.4793929755687713,0.4438079297542572,0.3976033329963684,0.443482369184494,0.3840765058994293,0.4346551597118377,0.4865850210189819,0.4090206623077392,0.5118517279624939,0.4303630590438843
sc_metrics_best_classifier,LR,RF,LR,LR,KNN,KNN,LR,LR,LR,RF,RF,RF,LR,LR,RF,LR,LR
sc_metrics_best_classifier_mean_acc,0.5785791958094236,0.5400224264797929,0.8452543546076906,0.6002363028117665,0.8255649698356072,0.8383457022606448,0.8417412221496017,0.6185393166789974,0.8361930815844701,0.7626463498053817,0.810321826542297,0.6218539541423276,0.5565504608832249,0.7295290421738558,0.536878613405893,0.8314128752942548,0.4682957871680737
sc_metrics_best_classifier_mean_f1,0.15686930386840628,0.10176897613363774,0.6072839413056138,0.2100695131979818,0.57212032774372,0.5865899334708146,0.6175351983944471,0.27019824445190904,0.5656192191821376,0.4404298956711005,0.44003190344508386,0.18010073956353415,0.10808975541680577,0.38087963244533923,0.10688759262447384,0.5670854998599292,0.07627636330581612
